"employee_id";"first_name";"last_name";"email";"phone_number";"hire_date";"job_id";"salary";"manager_id";"department_id"
100;"Steven";"King";"steven.king@el.cool";"515.123.4567";"1987-06-17";4;24000.0;0;9
101;"Neena";"Kochhar";"neena.kochhar@el.cool";"515.123.4568";"1989-09-21";5;17000.0;100;9
102;"Lex";"De Haan";"lex.de haan@el.cool";"515.123.4569";"1993-01-13";5;17000.0;100;9
103;"Alexander";"Hunold";"alexander.hunold@el.cool";"590.423.4567";"1990-01-03";9;9000.0;102;6
104;"Bruce";"Ernst";"bruce.ernst@el.cool";"590.423.4568";"1991-05-21";9;6000.0;103;6
105;"David";"Austin";"david.austin@el.cool";"590.423.4569";"1997-06-25";9;4800.0;103;6
106;"Valli";"Pataballa";"valli.pataballa@el.cool";"590.423.4560";"1998-02-05";9;4800.0;103;6
107;"Diana";"Lorentz";"diana.lorentz@el.cool";"590.423.5567";"1999-02-07";9;4200.0;103;6
108;"Nancy";"Greenberg";"nancy.greenberg@el.cool";"515.124.4569";"1994-08-17";7;12000.0;101;10
109;"Daniel";"Faviet";"daniel.faviet@el.cool";"515.124.4169";"1994-08-16";6;9000.0;108;10
110;"John";"Chen";"john.chen@el.cool";"515.124.4269";"1997-09-28";6;8200.0;108;10
111;"Ismael";"Sciarra";"ismael.sciarra@el.cool";"515.124.4369";"1997-09-30";6;7700.0;108;10
112;"Jose Manuel";"Urman";"jose manuel.urman@el.cool";"515.124.4469";"1998-03-07";6;7800.0;108;10
113;"Luis";"Popp";"luis.popp@el.cool";"515.124.4567";"1999-12-07";6;6900.0;108;10
114;"Den";"Raphaely";"den.raphaely@el.cool";"515.127.4561";"1994-12-07";14;11000.0;100;3
115;"Alexander";"Khoo";"alexander.khoo@el.cool";"515.127.4562";"1995-05-18";13;3100.0;114;3
116;"Shelli";"Baida";"shelli.baida@el.cool";"515.127.4563";"1997-12-24";13;2900.0;114;3
117;"Sigal";"Tobias";"sigal.tobias@el.cool";"515.127.4564";"1997-07-24";13;2800.0;114;3
118;"Guy";"Himuro";"guy.himuro@el.cool";"515.127.4565";"1998-11-15";13;2600.0;114;3
119;"Karen";"Colmenares";"karen.colmenares@el.cool";"515.127.4566";"1999-08-10";13;2500.0;114;3
120;"Matthew";"Weiss";"matthew.weiss@el.cool";"650.123.1234";"1996-07-18";19;8000.0;100;5
121;"Adam";"Fripp";"adam.fripp@el.cool";"650.123.2234";"1997-04-10";19;8200.0;100;5
122;"Payam";"Kaufling";"payam.kaufling@el.cool";"650.123.3234";"1995-05-01";19;7900.0;100;5
123;"Shanta";"Vollman";"shanta.vollman@el.cool";"650.123.4234";"1997-10-10";19;6500.0;100;5
126;"Irene";"Mikkilineni";"irene.mikkilineni@el.cool";"650.124.1224";"1998-09-28";18;2700.0;120;5
145;"John";"Russell";"john.russell@el.cool";"35252546";"1996-10-01";15;14000.0;100;8
146;"Karen";"Partners";"karen.partners@el.cool";"24426436";"1997-01-05";15;13500.0;100;8
176;"Jonathon";"Taylor";"jonathon.taylor@el.cool";"43637575";"1998-03-24";16;8600.0;100;8
177;"Jack";"Livingston";"jack.livingston@el.cool";"35757547";"1998-04-23";16;8400.0;100;8
178;"Kimberely";"Grant";"kimberely.grant@el.cool";"357547547";"1999-05-24";16;7000.0;100;8
179;"Charles";"Johnson";"charles.johnson@el.cool";"4746764767";"2000-01-04";16;6200.0;100;8
192;"Sarah";"Bell";"sarah.bell@el.cool";"650.501.1876";"1996-02-04";17;4000.0;123;5
193;"Britney";"Everett";"britney.everett@el.cool";"650.501.2876";"1997-03-03";17;3900.0;123;5
200;"Jennifer";"Whalen";"jennifer.whalen@el.cool";"515.123.4444";"1987-09-17";3;4400.0;101;1
201;"Michael";"Hartstein";"michael.hartstein@el.cool";"515.123.5555";"1996-02-17";10;13000.0;100;2
202;"Pat";"Fay";"pat.fay@el.cool";"603.123.6666";"1997-08-17";11;6000.0;201;2
203;"Susan";"Mavris";"susan.mavris@el.cool";"515.123.7777";"1994-06-07";8;6500.0;101;4
204;"Hermann";"Baer";"hermann.baer@el.cool";"515.123.8888";"1994-06-07";12;10000.0;101;7
205;"Shelley";"Higgins";"shelley.higgins@el.cool";"515.123.8080";"1994-06-07";2;12000.0;101;11
206;"William";"Gietz";"william.gietz@el.cool";"515.123.8181";"1994-06-07";1;8300.0;205;5
207;"Oscar";"Colmenares";"oscar@wp.pl";"365365656";"1994-06-07";1;5000.0;101;1
208;"Natalia";"Ruli";"natalia@onet.pl";"35757777";"1994-06-07";1;5000.0;90;1
209;"Aleksandra";"Martula";"ola@wp.pl";"45757575";"1994-06-07";1;5000.0;101;1
210;"Daria";"Spysinska";"daria@onet.pl";"47474747";"1989-09-21";1;5000.0;105;1
211;"Dariusz";"Martula";"darek@onet.pl";"47467647647";"1989-09-21";2;5000.0;105;1
212;"Ewa";"Palinska";"ewa@onet.pl";"47474747";"1997-06-25";2;5000.0;106;1
213;"Iza";"Spysinska";"iza@wp.pl";"346536536";"1997-06-25";2;6000.0;103;2
214;"Igor";"Spysinski";"igor@wp.pl";"57547547";"1997-06-25";2;6000.0;103;2
215;"Sylwia";"Podsiadla";"sylwia@yahoo.com";"4575475";"1999-05-24";3;6000.0;103;2
216;"Paulina";"Kosinska";"paulina@yahoo.com";"4574757";"1999-05-24";3;6000.0;103;2
217;"Adam";"Jagiello";"adam@wp.pl";"457457467";"1987-06-17";3;6000.0;90;2
218;"Justyna";"Zurawska";"justyna@wp.pl";"4574747";"1994-12-07";3;11000.0;90;3
219;"Viktoria";"Nonezova";"viktoria@mdlz.com";"474747";"1987-06-17";4;11000.0;90;3
220;"Enrico";"Caruso";"enrico@mdlz.com";"4574747";"1994-12-07";4;11000.0;90;3
221;"Yashar";"Zehtab";"yashar@yahoo.com";"36356536";"1987-06-17";4;11000.0;90;3
222;"Eduardo";"Lopez";"eduardo@yahoo.com";"463636";"1999-05-24";4;11000.0;101;4
223;"Victor";"Lopez";"viktor@yahoo.com";"56356356";"1987-06-17";4;3000.0;101;4
224;"Valeria";"Lopez";"valeria@yahoo.com";"252525";"1994-12-07";4;3000.0;101;4
225;"Natalie";"Hernandez";"natalie@yahoo.com";"263547647";"1991-05-21";5;3000.0;101;5
226;"Brenda";"Hernandez";"brenda@yahoo.com";"365457";"1991-05-21";5;5500.0;101;5
227;"Abigail";"Hernandez";"abigail@yahoo.com";"35547647";"1991-05-21";5;5500.0;101;5
228;"Joshua";"Bin";"joshua@yahoo.com";"4754747";"1991-05-21";5;5500.0;101;5
229;"Marta";"Slotwinska";"marta@gmail.com";"4574756";"1989-09-21";5;5500.0;120;8
230;"Marcin";"Slotwinski";"marcin@gmail.com";"34634635";"1991-05-21";6;5500.0;120;8
231;"Michal";"Slotwinski";"michal@gmail.com";"356577";"1999-05-24";6;9000.0;120;8
232;"Krystyna";"Dudala";"krystyna@gmail.com";"3554757";"1989-09-21";6;9000.0;120;8
233;"Adam";"Dudala";"adam@gmail.com";"57547547";"1991-05-21";6;9000.0;120;8
234;"Waldemar";"Patyk";"waldermar@gmail.com";"4575477";"1997-06-25";7;9000.0;120;8
235;"Justyna";"Patyk";"justyna@gmail.com";"457547547";"1994-12-07";7;9000.0;120;9
236;"Anna";"Hauck";"anna@gmail.com";"457547457";"2000-01-04";8;9000.0;115;9
237;"Steven";"Hauck";"steven@gmail.com";"45754747";"1999-05-24";8;9000.0;115;9
238;"Michelle";"Hauck";"michelle@gmail.com";"45745747";"2000-01-04";8;7000.0;115;9
239;"Rysiek";"Dudala";"rysiek@wp.pl";"476744747";"2000-01-04";9;7000.0;115;9
240;"Alan";"Slotwinski";"alan@wp.pl";"47474747";"1994-12-07";9;7000.0;115;9
241;"Monika";"Slotwinska";"monika@wp.pl";"4747447";"1999-05-24";9;7000.0;115;9
